Time (Minutes),Pages Crawled,Keywords Extracted,Pages TODO
0.3222657666666667,577,381,2852
0.3242845833333333,583,381,2846
0.32456833333333335,584,381,2847
0.32465631666666667,585,381,2846
0.3290635333333333,594,381,2837
0.3291831666666667,595,381,2836
0.3359444833333333,597,381,2838
0.33635995,598,381,2840
0.3397872666666667,599,381,2839
0.34021778333333336,600,384,2857
0.34075565,601,386,2954
0.3410139833333333,602,388,3026
0.34151445,603,389,3070
0.34158174999999996,604,392,3076
0.3418185333333333,605,393,3080
0.34194508333333334,606,393,3081
0.3421084,607,393,3080
0.34213879999999997,608,396,3079
0.34221466666666667,609,400,3079
0.34232176666666664,610,401,3078
0.34238998333333337,611,403,3086
0.3427928,612,405,3085
0.34371685,613,407,3090
0.34411485,614,407,3095
0.3442656666666667,615,408,3094
0.3443486666666667,616,408,3093
0.34443558333333335,617,408,3092
0.3447773333333333,618,410,3123
0.3449829166666667,619,412,3128
0.34528656666666663,620,415,3142
0.34567285,621,415,3158
0.34589021666666664,622,416,3158
0.3461482833333333,623,416,3160
0.34643668333333333,624,416,3162
0.34905345000000004,629,420,3178
0.3495161,630,420,3182
0.34976918333333334,631,421,3223
0.35002975000000003,632,421,3226
0.35027483333333337,633,421,3228
0.35056081666666666,634,423,3242
0.35072146666666665,635,426,3246
0.3508754333333333,636,426,3247
0.3509665833333333,638,426,3248
0.35376911666666666,640,430,3255
0.3539939166666667,641,433,3261
0.35410495,642,435,3267
0.35453296666666667,643,438,3266
0.35461651666666666,644,438,3265
0.35550296666666664,645,443,3264
0.3555759833333333,646,444,3264
0.35770701666666666,648,445,3330
0.35791168333333334,649,445,3329
0.35796320000000004,650,446,3328
0.3580008666666667,651,448,3327
0.3580564333333333,652,448,3326
0.35873075000000004,653,449,3326
0.35881003333333333,654,449,3325
0.35951845000000004,655,451,3325
0.35959996666666666,656,453,3325
0.35964286666666667,657,454,3324
0.3596899333333334,658,456,3324
0.3600131833333334,660,456,3323
0.36014615,661,457,3324
0.3602228333333333,662,457,3324
0.3603502833333333,663,458,3324
0.36041080000000003,664,459,3324
0.36092965,665,462,3323
0.36226973333333334,666,463,3324
0.36244035,667,463,3323
0.3624931166666666,668,463,3322
0.3629029166666667,669,463,3321
0.3629651666666666,670,463,3320
0.3640821,672,463,3318
0.36420966666666665,673,463,3317
0.36484701666666663,674,463,3316
0.36489146666666666,675,463,3315
0.36506266666666665,676,463,3314
0.36569395,677,463,3313
0.3807737,679,467,3311
0.38383069999999997,680,467,3310
0.38785938333333336,682,467,3308
1.0128229499999999,726,467,3264
1.01377005,727,467,3264
1.0140575,728,470,3270
1.0141943166666667,729,470,3270
1.0156174333333334,730,470,3270
1.0157942166666667,731,470,3270
1.0164605666666666,732,470,3269
1.0166109166666666,733,470,3268
1.0169135666666667,734,471,3269
1.0178242666666668,735,471,3268
1.02115025,736,471,3267
1.0213747833333333,737,471,3266
1.0217915,738,471,3265
1.0220375833333333,739,471,3264
1.0232966833333335,740,471,3269
1.0266382666666667,742,474,3270
1.02691595,743,477,3281
1.0270426666666668,744,478,3297
1.0304705,745,480,3302
1.03835665,746,485,3303
1.0400715,747,485,3373
1.0403449,748,487,3417
1.0405548333333334,749,488,3416
1.0406751833333334,750,489,3415
1.0424412833333334,751,493,3414
1.0451582,752,493,3560
1.0453383,753,494,3580
1.0455441333333333,754,494,3630
1.0457796666666668,755,494,3722
1.0469439333333335,756,496,3722
1.0472219666666667,757,500,3787
1.3293727333333334,1023,502,3521
1.3536686333333334,1031,502,3513
1.358188,1033,502,3511
1.3692695499999998,1034,502,3510
1.3917891,1042,507,3502
1.4036867333333334,1047,511,3502
1.4465411166666666,1059,515,3498
1.4690314,1065,517,3495
1.47737275,1069,520,3491
1.47970475,1071,523,3489
1.4882576166666666,1074,528,3486
1.4927062166666665,1076,532,3484
1.55510545,1090,533,3474
1.5849012333333334,1098,535,3466
1.6011373833333333,1102,539,3462
1.6011877666666665,1103,540,3461
1.6145160333333335,1108,544,3469
1.6330706333333334,1121,549,3456
1.6446477333333334,1126,553,3451
1.64511555,1127,557,3450
1.6512682166666666,1128,560,3449
1.6514528166666667,1129,561,3448
1.6532763499999998,1130,561,3447
1.6534035333333332,1131,562,3446
1.65520965,1134,562,3443
1.65720285,1135,563,3442
1.6573019833333333,1136,563,3441
1.6593406,1137,564,3442
1.6594363666666667,1138,565,3441
1.6594932333333332,1139,565,3440
1.6614564666666667,1140,565,3451
1.6617225166666667,1141,565,3498
1.6619093999999999,1142,565,3545
1.6626992833333332,1144,565,3549
1.6628525833333332,1145,565,3568
1.66421805,1146,565,3577
1.6644344,1147,565,3619
1.6645320499999998,1148,565,3639
1.6646894166666668,1149,565,3681
2.082658266666667,1403,567,3434
2.0828631166666667,1404,570,3434
2.083325566666667,1405,571,3437
2.0834566333333333,1406,572,3438
2.0841229333333335,1407,572,3480
2.084273883333333,1408,572,3499
2.084652616666667,1410,572,3507
2.084832566666667,1411,572,3549
2.0851039,1412,573,3552
2.0854871166666666,1413,573,3559
2.0865373333333332,1414,573,3650
2.086735416666667,1415,573,3662
2.0868148833333335,1417,573,3668
2.0869064833333333,1418,573,3685
2.0869904333333333,1419,573,3702
2.0870664333333333,1421,573,3710
2.087399866666667,1422,573,3809
2.0875342666666667,1423,573,3851
2.0876134333333334,1424,573,3860
2.088391,1425,573,3902
2.0884821,1426,573,3911
2.0887534166666666,1427,573,4010
2.1864776833333335,1902,573,3578
2.186811233333333,1903,573,3620
2.18709025,1905,573,3661
2.187396233333333,1907,573,3702
2.471358883333333,2192,573,3427
2.4715057333333332,2193,573,3469
2.471646616666667,2194,573,3511
2.471989766666667,2195,573,3610
2.4721261166666664,2196,573,3652
2.4722804333333332,2197,573,3694
2.4723409833333334,2198,573,3699
2.47295735,2199,573,3720
2.473054666666667,2200,573,3728
2.4731759666666666,2201,573,3763
2.474255783333333,2202,576,3797
2.4743405999999997,2203,576,3799
2.4744871166666664,2204,577,3837
2.47466035,2205,578,3867
2.4752381166666666,2206,580,3875
3.2594152500000004,2732,581,3360
3.2708918000000002,2734,581,3359
3.276091716666667,2735,582,3364
3.3107910833333336,2739,582,3383
3.3123948833333334,2740,585,3384
3.3175167,2741,585,3394
3.328082,2742,585,3398
3.6601407499999996,2772,586,3368
3.662649233333333,2774,586,3366
3.736824833333333,2781,588,3404
3.737195216666667,2782,589,3470
3.7441195166666663,2783,590,3534
5.0980203,2911,593,3407
5.120756816666667,2917,595,3402
5.18728295,2932,598,3388
5.274488466666667,2948,598,3372
5.282492833333333,2949,600,3383
5.28312915,2950,602,3387
5.2835995166666665,2951,602,3387
5.286906816666667,2954,604,3385
5.289430866666667,2955,606,3394
5.290350466666666,2956,607,3415
5.294321666666666,2957,608,3414
5.294536516666667,2958,610,3413
5.295529650000001,2959,613,3435
5.295716866666667,2960,614,3434
5.299856016666666,2961,618,3433
5.30194975,2965,619,3429
5.3020004,2966,620,3428
5.303212383333333,2968,620,3426
5.308302433333334,2970,620,3424
5.308908016666667,2972,620,3422
5.30972055,2973,620,3421
5.311308183333334,2975,620,3419
5.311974916666667,2976,620,3418
5.313110483333333,2977,622,3418
5.313519233333333,2978,622,3417
5.318389316666667,2981,626,3423
5.3212713,2983,630,3422
5.321699966666667,2986,635,3420
5.32213875,2987,637,3419
5.322191566666667,2988,638,3418
5.3222872500000005,2989,639,3417
5.323055633333333,2990,641,3416
5.3230899,2991,642,3415
5.323180616666666,2993,642,3413
5.323359533333333,2994,643,3412
5.324128983333334,2995,645,3411
5.326460333333333,2997,645,3409
5.327229116666667,2999,647,3408
